LegalNm,BusNm,Address,City,State,Country,Zipcode,Phone_Number,Website,Total_Assets,Clients
VOORMAN INVESTMENT COUNSEL LLC,VOORMAN INVESTMENT COUNSEL LLC,729 WEST ANN ARBOR TRAIL,PLYMOUTH,MI,United States,48170,248-943-0565,http://www.voormaninvestments.com,11147341,0
"BRICKS & MORTAR CAPITAL, LLC",BRICKS & MORTAR CAPITAL,,,,,,3108760000,HTTP://BAMCAP.COM,11154605,
"C.O. OVERBEY, JR. FINANCIAL PLANNERS, INC","C.O. OVERBEY, JR. FINANCIAL PLANNERS, INC",9307 BROOK ROAD,GLEN ALLEN,VA,United States,23060-2378,804-266-4016,HTTP://WWW.CHUCKOVERBEY.COM,11163486,11-25
"LONE PEAK CAPITAL MANAGEMENT, LLC","LONE PEAK CAPITAL MANAGEMENT, LLC",2901 BLUEGRASS BLVD,LEHI,UT,United States,84043,801-855-5669,,11163738,0
ROSCOE FINANCIAL ADVISORY COMPANY,ROSCOE FINANCIAL,,,,,,740-622-6083,HTTP://WWW.ROSCOEFINANCIAL.COM,11166070,1-10
"CAPITAL ADVISORS WEALTH MANAGEMENT, LLC","CAPITAL ADVISORS WEALTH MANAGEMENT, LLC",,,,,,423-899-0849,HTTP://WWW.CAWMLLC.COM/,11168721,26-50
"RESOLUTE CAPITAL, LLC","RESOLUTE CAPITAL, LLC",,,,,,305-297-8080,,11184577,
"TALLEY FINANCIAL, INC",TALLEY FINANCIAL,,,,,,509-682-4424,HTTP://WWW.TALLEYFINANCIAL.COM,11185628,0
NEW ERA INVESTMENTS LLC,NEW ERA INVESTMENTS LLC,28411 NORTHWESTERN HWY,SOUTHFIELD,MI,United States,48034,248-352-1951,https://www.newerainvestmentsllc.com/,11191338,
"KLAREN CAPITAL, LLC",KLAREN CAPITAL,,,,,,434-326-5174,HTTP://WWW.KLARENCAPITAL.COM,11200000,1-10
"FAITHFUL STEWARD WEALTH MANAGEMENT, INC.","FAITHFUL STEWARD WEALTH MANAGEMENT, INC.",,,,,,810-244-0250,,11200000,
"HARVEY & COMPANIES, INC.","HARVEY & COMPANIES, INC.",2950 5TH AVENUE NORTH,ST. PETERSBURG,FL,United States,33713,727-867-1000,HTTP://WWW.HARVEYANDCOMPANIES.COM,11216687,
"JURKIEWICZ, CHRISTOPHER","JURKIEWICZ, CHRISTOPHER","181 HUDSON STREET, #2C",NEW YORK,NY,United States,10013-1812,212-925-2577,,11223039,0
"RAMPART GROUP, LLC","RAMPART GROUP, LLC",,,,,,(831) 373-8343,,11224620,
MILLERGROUP INVESTMENTS LLC,MILLERGROUP INVESTMENTS LLC,800 LANCASTER AVE,VILLANOVA,PA,United States,19085,610-322-2904,https://www1.villanova.edu/villanova/engineering/faculty/facstaff/facultymechanical/biodetail.html?mail=reid.miller@villanova.ed,11228212,0
"LODESTAR WEALTH PUBLIC BENEFIT, LLC","LODESTAR WEALTH, LLC",45 INDUSTRIAL RD,CUMBERLAND,RI,United States,02864,(401) 230-2970,https://lodestarwealth.com,11232643,11-25
"CASTLEBERRY CAPITAL INVESTMENTS, LLC","CASTLEBERRY CAPITAL INVESTMENTS, LLC",415 DAHLONEGA ST,CUMMING,GA,United States,30040,(770) 519-0669,https://castleberrycapital.com/,11238607,
WHITESTONE CAPITAL MANAGEMENT LLC,WHITESTONE CAPITAL MANAGEMENT LLC,110 E MARKET ST,NEW ALBANY,IN,United States,47150,812-697-1537,https://whitestonecapitalmanagement.com,11243879,0
"BAIRD, KATHERINE L.",K.L. BAIRD ASSET MANAGEMENT,,,,,,360-682-5885,,11252011,
"TAYLOR STRATEGIC WEALTH MANAGEMENT, LLC","TAYLOR STRATEGIC WEALTH MANAGEMENT, LLC",,,,,,310-245-3668,https://www.taylorstrategicwm.com/,11263696,0
CANNON WEALTH GROUP LLC,CANNON WEALTH GROUP LLC,,,,,,310-734-0680,HTTP://CANNONWEALTHGROUP.COM/,11267696,0
"WIGGIN FINANCIAL PLANNING , P.A.",WIGGIN FINANCIAL SERVICES,101 NE 3RD AVENUE,FORT LAUDERDALE,FL,United States,33301,(954) 390-6191,https://www.facebook.com/DeborahWigginFinancialService,11277686,1-10
"CBYRDK, LLC",KITSMAN INVESTMENT MANAGEMENT,600 S TYLER ST # 1702,AMARILLO,TX,United States,79101,(806) 322-4825,,11277829,
"ADAGE INVESTMENT ADVISORS, L.L.C.","ADAGE INVESTMENT ADVISORS, L.L.C.",,,,,,970-402-1477,,11283990,
SUMMIT INVESTMENTS LLC,SUMMIT INVESTMENTS LLC,87 MEADOW LANE,DORSET,VT,United States,05251,802-287-0822,HTTP://WWW.SUMMITINVESTMENTSVT.COM,11285917,0
WHITNEY FINANCIAL STRATEGIES LLC,"WHITNEY FINANCIAL STRATEGIES, LLC",8000 INTERSTATE HW 10 WEST,SAN ANTONIO,TX,United States,78230,210-524-7763,HTTP://WWW.WHITNEYFINANCIALSTRATEGIES.COM,11292863,0
"ALEXA WEALTH MANAGEMENT, LLC","ALEXA WEALTH MANAGEMENT, LLC",,,,,,860-526-1734,https://tomalexa.com/,11293977,0
SEWICKLEY FINANCIAL LLC,SEWICKLEY FINANCIAL LLC,415 BEAVER STREET,SEWICKLEY,PA,United States,15143,414-688-6733,HTTP://WWW.SEWICKLEYFINANCIAL.COM,11294070,1-10
BANTAM INC.,BANTAM INC.,107 EAST MEADOWBROOK LANE,STAATSBURG,NY,United States,12580,(845) 605-1007,https://twitter.com/bdafhedge,11300000,1-10
PLAN2PROSPER LLC.,PLAN2PROSPER LLC.,19 GREEN FARMS RD,ANDOVER,NJ,United States,07821,973-786-7476,HTTP://WWW.PLAN2PROSPER.BIZ,11300000,1-10
"ANTONUCCI, FRANCIS ANTHONY",CENTENNIAL MANAGEMENT,,,,,,(301) 230-1222,,11300000,
"HARPER CAPITAL PARTNERS, INC.",HARPER CAPITAL PARTNERS,,,,,,704-554-0548,HTTP://WWW.HARPERCAPITAL.COM,11300000,0
KLK CAPITAL WEALTH ADVISORS LLC,KLK CAPITAL WEALTH ADVISORS LLC,,,,,,816-304-0667,,11300000,1-10
PEACE OF MIND PLANNING LLC,ADVISOR SHARE WEALTH MANAGEMENT,13231 SE 36TH STREET,BELLEVUE,WA,United States,98006,866-232-3251,https://aswealthmanagement.com/,11300000,0
DEMOCRACY INVESTMENT MANAGEMENT LLC,DEMOCRACY INVESTMENT MANAGEMENT LLC,,,,,,415-933-0805,https://www.facebook.com/democracyinvestments/,11300000,
"ROCKYSTREAM ADVISOR, LLC",RSA CAPITAL,,,,,,914-231-9071,HTTP://RSCIM.COM/,11301084,1-10
"CHANGEBRIDGE CAPITAL, LLC","CHANGEBRIDGE CAPITAL, LLC",,,,,,6177172910,https://www.changebridgecapital.com/,11317581,
CARDINAL MARK LLC,CARDINAL MARK LLC,,,,,,773-325-2400,,11318454,0
CORCORAN CAPITAL MANAGEMENT LLC,CORCORAN CAPITAL MANAGEMENT LLC,ONE PERIMETER PARK SOUTH SUITE 333N,BIRMINGHAM,AL,United States,35243,205-848-7595,https://www.corcorancapitalmgmt.com/,11329000,
"GRIMALDI INVESTMENT SERVICES, LLC","GRIMALDI INVESTMENT SERVICES, LLC",,,,,,765-405-1092,,11332796,0
111TH STREET INVESTMENTS LLC,MAIN STREET INVESTMENTS,,,,,,913 802 4015,HTTPS://WWW.MAINSTREETINVESTMENTS.COM/,11333058,26-50
"TANGO CAPITAL MANAGEMENT, LLC.","TANGO CAPITAL MANAGEMENT, LLC.(TCM)",,,,,,888-832-0274,HTTP://WWW.TANGOLLC.COM,11333424,
"BFA WEALTH MANAGEMENT, LLC",BFA WEALTH MANAGEMENT,100 BOSTON TURNPIKE ROAD,SHREWSBURY,MA,United States,01545,617-366-2709,HTTPS://WWW.LINKEDIN.COM/COMPANY-BETA/10165650/,11337434,26-50
"HPA FINANCIAL GROUP, LLC","HPA FINANCIAL GROUP, LLC",,,,,,239-430-7007,HTTPS://WWW.HPAFINANCIAL.COM,11343738,
SMITH FINANCIAL ADVISORS INC.,SMITH FINANCIAL ADVISORS INC.,2228 W. FERRY RD.,NAPERVILLE,IL,United States,60563,312-305-3010,,11344000,0
"JOSEPH WEALTH MANAGEMENT, LLC","JOSEPH WEALTH MANAGEMENT, LLC",7600 WEST ROOSEVELT RD.,FOREST PARK,IL,United States,60130,312-316-2001,HTTP://WWW.JOSEPHWEALTHMANAGEMENT.COM,11344852,0
LUMINA INVESTMENT ADVISORS LLC,LUMINA INVESTMENT ADVISORS LLC,20900 NE 30TH AVENUE,AVENTURA,FL,United States,33180-2163,954-399-8121,HTTPS://WWW.LINKEDIN.COM/COMPANY/LUMINA-INVESTMENT-ADVISORS-LLC?TRK=PPRO_CPROF,11347332,
GUARDIAN CAPITAL GROUP LLC,GUARDIAN CAPITAL GROUP LLC,,,,,,928.204.9147,HTTPS://WWW.GUARDIANCAPITALGROUP.NET,11355073,0
"PLS ADVISORY, LLC","PLS ADVISORY, LLC",,,,,,281-656-1757,https://www.linkedin.com/company/pls-advisory-llc,11371323,1-10
ADAMS WEALTH MANAGEMENT GROUP LLC,ADAMS WEALTH MANAGEMENT,"600 S. TYLER ST., SUITE 2100",AMARILLO,TX,United States,79101,806-414-5494,HTTP://ADAMSWM.COM,11377493,0
"COLLINS ADVISORS FUND MANAGEMENT, LLC",COLLINS ADVISORS,,,,,,917.975.0126,,11380947,1-10
ATLAS CAPITAL MANAGEMENT INC.,ATLAS CAPITAL MANAGEMENT,2625 TOWNSGATE ROAD,THOUSAND OAKS,CA,United States,91361,800-801-7956,HTTP://WWW.ATLAS-CAPITAL.COM,11383104,0
"SFO CAPITAL, INC.","SFO CAPITAL, INC.",,,,,,713-823-5612,,11393315,
"CROUCH INVESTMENT GROUP, INC.","CROUCH INVESTMENT GROUP, INC.",,,,,,720-529-5799,,11400000,1-10
JOHN HENRY MANAGEMENT COMPANY,KLEIN FINANCIAL ADVISORS,,,,,,949-292-5460,,11400000,1-10
"MAIN STREET INVESTORS, LLC","MAIN STREET INVESTORS, LLC",205 POWELL PLACE,BRENTWOOD,TN,United States,37027,615-369-0790,https://moneyonmain.com/,11400000,26-50
DIVORCE AND MONEY MATTERS LLC,WEALTH PROTECTION MANAGEMENT,,,,,,203-393-7200,HTTP://WWW.DIVORCEMATTERS.COM,11400000,1-10
PATRICK MICHAEL KEEDY,PATRICK CAPITAL MANAGEMENT,327 FRANKLIN,GENEVA,IL,United States,60134,630-232-7044,,11400000,0
NVIP LLC,NOMADIC VALUE PARTNERS,,,,,,8024441990,https://nvip.co,11401674,1-10
FINIAL POINT CAPITAL MANAGEMENT LLC,FINIAL POINT CAPITAL MANAGEMENT LLC,,,,,,(913) 735-5091,,11412196,
"MKS INVESTMENT MANAGEMENT, INC.","MKS INVESTMENT MANAGEMENT, INC.",,,,,,860-228-1040,HTTP://WWW.2281040.COM,11415696,26-50
"MIKE SENA ADVISORS, INC.","MIKE SENA ADVISORS, INC.",,,,,,404-569-6612,https://www.linkedin.com/in/mikesena/,11416812,11-25
STACKHOUSE CAPITAL LLC,STACKHOUSE ENTERPRISES,516 S. OHIO AVENUE,SEDALIA,MO,United States,65301,(660) 570-4114,https://www.facebook.com/stackhouseenterprises,11419659,51-100
"HOOD FINANCIAL, LLC","HOOD FINANCIAL, LLC",,,,,,760-752-7848,https://www.hoodfinancial.com/,11420017,1-10
"KISCO CAPITAL, LLC","KISCO CAPITAL, LLC",,,,,,347-709-9539,HTTPS://WWW.FACEBOOK.COM/KISCOCAP/,11421904,
"INTERNATIONAL ASSET MANAGEMENT, INC.","INTERNATIONAL ASSET MANAGEMENT, INC.",,,,,,956-723-3795,,11426711,11-25
"MANDALA WEALTH MANAGEMENT, LLC","MANDALA WEALTH MANAGEMENT, LLC",,,,,,415-633-6804,HTTPS://WWW.MANDALAWEALTH.COM,11444078,0
PIHL FINANCIAL PLANNING LLC,PIHL FINANCIAL PLANNING,,,,,,503-730-5093,https://www.pihlfinancialplanning.com,11446515,11-25
"PRINCE, WILLIAM L","PRINCE, WILLIAM L",,,,,,858-900-2113,,11450000,0
"LEXINGTON CAPITAL, LLC","LEXINGTON CAPITAL, LLC",,,,,,612-799-0661,,11455521,11-25
"RIGHTWAY INVESTMENTS, PLLC","RIGHTWAY INVESTMENTS, PLLC",7 THORN BERRY PLACE,THE WOODLANDS,TX,United States,77381,713-304-6199,HTTP://WWW.RIGHTWAYINVEST.COM,11458019,1-10
"ADVANCED ADVISOR GROUP, LLC","ADVANCED ADVISOR GROUP, LLC",1995 EAST RUM RIVER DRIVE S,CAMBRIDGE,MN,United States,55008,763-689-9023,HTTPS://WWW.FACEBOOK.COM/EDUCATORSFINANCIAL/,11460173,51-100
Q(X) BRANCH RESERVE INVESTMENTS LLC,Q(X) BRANCH RESERVE INVESTMENTS LLC,,,,,,302-428-1705,,11465100,
"DIPISA, STEPHEN A.",STEPHEN A. DIPISA REGISTERED INVESTMENT ADVISOR,,,,,,212-874-3229,,11465133,
DELLER WEALTH MANAGEMENT LLC,DELLER WEALTH MANAGEMENT LLC,418 N MAIN ST.,ROYAL OAK,MI,United States,48067,248-565-3777,https://www.facebook.com/dellerwealthmanagement,11473707,1-10
"FRONTSIGHT WEALTH ADVISORS, LLC","FRONTSIGHT WEALTH ADVISORS, LLC",2762 EAST CENTER STREET,KINGSPORT,TN,United States,37664,(800) 815-5479,,11474227,11-25
THE RAFFIN GROUP LLC,THE RAFFIN GROUP LLC,,,,,,650-793-8639,,11476009,
"LEGACY WEALTH PLANNING, LLC","LEGACY WEALTH PLANNING, LLC",5750 W. 95TH STREET,OVERLAND PARK,KS,United States,66207,913-648-4657,HTTP://WWW.LWP-KC.COM,11482776,26-50
DANNY ROBLES VISION WEALTH ADVISORS LLC,VISION WEALTH ADVISORS LLC,11912 SLIDE RD.,LUBBOCK,TX,United States,79424,806-553-2800,https://twitter.com/advisorsvision1,11482823,26-50
"MERCURY CAPITAL MANAGEMENT, INC.","MERCURY CAPITAL MANAGEMENT, INC.",,,,,,913-626-9330,,11484540,
GREYFIELD CAPITAL MANAGEMENT LLC,GREYFIELD CAPITAL MANAGEMENT LLC,,,,,,904-775-8818,https://linktr.ee/GreyfieldCap,11490745,0
K-WM LLC,KOVAR WEALTH MANAGEMENT,200 CHRISTIE ST.,LUFKIN,TX,United States,75904,(936) 899-5629,http://www.KovarWealth.com,11497490,0
SWEATER INDUSTRIES LLC,SWEATER INDUSTRIES LLC,2000 CENTRAL AVE.,BOULDER,CO,United States,80301,1-888-577-7987,https://www.linkedin.com/company/sweaterventures,11499745,
"HERNANDEZ, JESSE",HERNANDEZ FINANCIAL,451 S. 6TH STREET,SUNNYSIDE,WA,United States,98944,509-839-1002,HTTP://WWW.FEE-PLANNER.COM,11500000,1-10
"BIRD CAPITAL GROUP, INC.","BIRD CAPITAL GROUP, INC.",,,,,,713-302-3312,HTTP://WWW.BIRDCAPITALGROUP.COM/,11500000,0
"COMMONWEALTH ASSET MANAGEMENT GROUP, LLC","COMMONWEALTH ASSET MANAGEMENT GROUP, LLC",10501 WEST DRIVE,FAIRFAX,VA,United States,22030,703-250-6060,https://www.retirementchanges.com/,11500000,1-10
"FINNESTAD, DAVID, DEL",FINNESTAD FINANCIAL,,,,,,815-409-1500,,11500000,
"ZALES INVESTMENT MANAGEMENT, INC","ZALES INVESTMENT MANAGEMENT, INC",,,,,,719-337-6345,,11500000,0
NURTURE INVESTMENT STRATEGIES LLC,NURTURE INVESTMENT STRATEGIES LLC,,,,,,(805) 403-2962,https://www.nurtureinvestmentstrategies.com/,11505679,
"ECAPITAL ADVISORS, INC.","ECAPITAL ADVISORS, INC.",,,,,,254-722-3877,,11511338,1-10
"TUGGLE & RUSSELL, L.L.C.","TUGGLE & RUSSELL, L.L.C.",101 W RENNER ROAD,RICHARDSON,TX,United States,75082,972-788-4703,HTTPS://TWITTER.COM/TUGGLERUSSELL,11512020,0
"ADVAYA, LLC",ADVAYA INVESTMENT MANAGEMENT,,,,,,415-518-9719,HTTPS://WWW.ADVAYA.COM,11512236,0
"MEETING HOUSE CAPITAL, LLC","MEETING HOUSE CAPITAL, LLC",100 MAIN STREET,CONCORD,MA,United States,01742,978-245-6811,https://www.linkedin.com/company/71325666/admin/,11521988,
"WINCHESTER CAPITAL SERVICES, LLC","WINCHESTER CAPITAL SERVICES, LLC",,,,,,504-723-8400,,11524109,1-10
"CRAWFORD, DENNIS EARL",DIVERSIFIED CONSUMER PLANNING,,,,,,517-456-7732,,11526416,0
"SLATE PEAK FINANCIAL SERVICES, LLC","SLATE PEAK FINANCIAL SERVICES, LLC",,,,,,617-383-4577,https://www.slatepeakfinancial.com/,11528127,51-100
EVIDENCIAL FINANCIAL CONSULTING LLC,EVIDENCIAL FINANCIAL CONSULTING,,,,,,415-902-3632,https://www.linkedin.com/in/kristopher-j-van-stralen-chfc-9a4896a,11530000,1-10
"MOUNTAIN FINANCIAL CAPITAL, LLC",MOUNTAIN FINANCIAL CAPITAL,,,,,,(720) 445-6901,HTTP://WWW.INFO_AT_MTNFINCAPITAL.COM,11539348,1-10
"BERT RIDDELL CRAMER, INVESTMENT ADVISER","BERT RIDDELL CRAMER, INVESTMENT ADVISER",,,,,,610-777-3193,,11540000,0
SHEPTOFF INVESTMENT GROUP LLC,SHEPTOFF INVESTMENT GROUP LLC,,,,,,860-461-9298,HTTP://WWW.SHEPTOFF.COM,11544345,11-25
SIMPLICITY WEALTH MANAGEMENT LLC,SIMPLICITY WEALTH MANAGEMENT,,,,,,(804) 286-4910,https://www.facebook.com/simplicitywealthmanagement/,11548449,26-50
LT ADVISORS LLC,LT ADVISORS LLC,,,,,,(914) 216-1739,,11551753,1-10
HGTURNER ASSOCIATES LLC,HGTURNER ASSOCIATES LLC,,,,,,631-673-3055,,11553930,0
"WAKEFIELD FINANCIAL PLANNING, LLC","WAKEFIELD FINANCIAL PLANNING, LLC",,,,,,919-422-6090,HTTP://WWW.WAKEFIELDFINANCIAL.COM,11559000,1-10
"SINGLE A CAPITAL, LLC","SINGLE A CAPITAL, LLC",,,,,,646-338-1808,HTTPS://WWW.SINGLEACAPITAL.COM,11560000,
"PREMIER WEALTH ADVISORY SERVICES,INC.","PREMIER WEALTH ADVISORY SERVICES, INC.",16100 CHESTERFIELD PKWY WEST,CHESTERFIELD,MO,United States,63017,636-532-7337,https://www.facebook.com/premierwealthadvisoryservices,11566342,51-100
"MARINA WEALTH ADVISORS, LLC",MARINA WEALTH ADVISORS,,,,,,(310) 817-0744,https://www.MarinaWealthAdvisors.com,11567231,1-10
"RANDAZZO CAPITAL MANAGEMENT, LLC","RANDAZZO CAPITAL MANAGEMENT, LLC",,,,,,949-939-1727,http://www.linkedin.com/in/parkrandazzo,11572455,0
"ASSET ACCUMULATION,PROTECTION,PRESERVATION AND TRANSFER, LLC","ASSET ACCUMULATION,PROTECTION,PRESERVATION AND TRANSFER, LLC",,,,,,770-874-0083,HTTP://WWW.APTJAC.COM,11585787,1-10
"MDC FINANCIAL CONSULTING, LLC","MDC FINANCIAL CONSULTING, LLC",,,,,,(201) 666-6838,,11587577,0
BREAKOUT PRIVATE WEALTH LLC,BREAKOUT PRIVATE WEALTH LLC,2700 PATRIOT BLVD.,GLENVIEW,IL,United States,60026,312-953-4081,,11590700,1-10
"LEWER FINANCIAL ADVISORS, LLC","LEWER FINANCIAL ADVISORS, LLC",9900 WEST 109TH STREET,OVERLAND PARK,KS,United States,66210,816-360-7900,https://lewercustomers.com/shaw-flooring/,11590875,26-50
"JOHNEDIS JR., DANIEL J.","CRATUS CAPITAL, LLC",,,,,,954-554-5370,http://cratuscapital.com,11600000,26-50
EPL INVESTMENT ADVISORY LLC,EPL INVESTMENT ADVISORY LLC,3035 S ELLSWORTH ROAD,MESA,AZ,United States,85212,480-831-1731,HTTPS://WWW.EPLIA.COM/,11600000,0
"OFSG, LLC",OLSON WEALTH MANAGEMENT,468 S. SEGUIN AVE.,NEW BRAUNFELS,TX,United States,78130,(210) 860-7338,https://olsonwealthmanagement.com,11603657,11-25
"STRATEGIC WEALTH PARTNERS, LLC","STRATEGIC WEALTH PARTNERS, LLC",,,,,,7192859530,,11608108,1-10
"SPORTS & ENTERTAINMENT INVESTMENT ADVISERS, LLC","SPORTS & ENTERTAINMENT INVESTMENT ADVISERS, LLC",400 RELLA BOULEVARD,MONTEBELLO,NY,United States,10901,845-369-9422,HTTPS://WWW.SEINVESTMENTADVISERS.COM,11608191,
LARIAT WEALTH MANAGEMENT LLC,LARIAT WEALTH MANAGEMENT,8400 E. PRENTICE AVENUE,GREENWOOD VILLAGE,CO,United States,80111,303-506-7739,https://www.linkedin.com/in/maia-babbs-0413495/,11609641,1-10
"STONE HILL WEALTH MANAGEMENT, LLC","STONE HILL WEALTH MANAGEMENT, LLC",2550 PACIFIC AVENUE,DALLAS,TX,United States,75226,(469) 608-1457,HTTP://WWW.LINKEDIN.COM/IN/PHILLIPWASHINGTONJR,11610062,101-250
CM FIRST CAPITAL CORP.,CM FIRST CAPITAL CORP.,18600 MAIN STREET,HUNTINGTON BEACH,CA,United States,92648,714-465-2207,,11612180,
"BLACK ELM ADVISERS, LLC","BLACK ELM ADVISERS, LLC",,,,,,847-676-2590,http://www.blackelmadvisers.com,11621046,
STRATEGIC WEALTH MANAGEMENT LLC,STRATEGIC WEALTH MANAGEMENT LLC,555 PLEASANTVILLE RD,BRIARCLIFF MANOR,NY,United States,10510,9147692601,,11629898,0
EVAN CAPITAL LLC,EVAN CAPITAL,1800 BERING DRIVE,HOUSTON,TX,United States,77057,(713) 322-8920,HTTPS://WWW.EVANCAPITAL.COM/,11631126,0
YOUNG SCRAPPY MONEY LLC,YOUNG & SCRAPPY,520 W. PONCE DE LEON AVE.,DECATUR,GA,United States,30031,(404) 446-9199,http://queerfinancialadvisor.com,11632010,26-50
ENVISION WEALTH PLANNING INC.,ENVISION WEALTH PLANNING INC.,100 S. STATE ST.,CHICAGO,IL,United States,60603,312-448-1010,https://envisionwealth.us/,11637545,51-100
"ASPEN FINANCIAL SOLUTIONS, LLC","ASPEN FINANCIAL SOLUTIONS, LLC",5084 SNOWMASS CREEK ROAD,SNOWMASS,CO,United States,81654,970-274-4346,HTTP://WWW.ASPENFINANCIALSOLUTIONS.COM,11638712,
JOHN VITALE,PALISADES RESEARCH SYSTEMS,,,,,,310-459-7528,HTTP://WWW.STOCMARKET.COM,11640000,0
"ADAP TAX FINANCIAL, INC.","ADAP TAX FINANCIAL, INC.",4725 FIRST STREET,PLEASANTON,CA,United States,94566,925-218-2301,https://www.yelp.com/biz/adap-tax-financial-inc-pleasanton,11642857,11-25
WILLIAM MURRAY RUFFELL,MURRAY RUFFELL,,,,,,904-273-7069,,11644343,0
"BR CAPITAL, INC.","BR CAPITAL, INC.",2005 SE 192ND AVE STE 200,CAMAS,WA,United States,98607-7475,360-735-1900,HTTPS://WWW.LINKEDIN.COM/IN/MICHAEL-ELERATH-095A5114/,11646103,1-10
"STERLING INVESTMENT ADVISOR, INC.",STERLING ADVISOR GROUP,2500 S POWER RD,MESA,AZ,United States,85209,480-729-8000,,11650000,0
"PANTHER FINANCIAL PLANNING, LLC","PANTHER FINANCIAL PLANNING, LLC",,,,,,615-507-2093,HTTPS://WWW.LINKEDIN.COM/IN/CHERYL-PANTHER-122328186/,11651477,51-100
SOUND FINANCIAL SOLUTIONS LLC,SOUND FINANCIAL SOLUTIONS LLC,"1900 S. HARBOR CITY BLVD, SUITE 305",MELBOURNE,FL,United States,32901,321-984-2152,HTTP://WWW.SOUNDFINANCIALSOLUTIONS.NET,11654596,0
"WEALTH MANAGEMENT SERVICES,LLC","WEALTH MANAGEMENT SERVICES,LLC","2 LAWRENCE SQUARE, SUITE B",SPRINGFIELD,IL,United States,62704,217-492-1040,,11654939,0
"BARNETT, DAVID WAYNE",GRAND ARBOR ADVISORS,,,,,,817-589-7281,HTTP://WWW.DAVIDWBARNETT.COM,11662551,26-50
JACOBE INVESTMENTS LLC,JACOBE INVESTMENTS,510 BERING DRIVE,HOUSTON,TX,United States,77057,713-975-7400,,11669257,0
"POLARIS WEALTH MANAGEMENT, LLC","POLARIS WEALTH MANAGEMENT, LLC",,,,,,312-951-2606,http://www.PolarisAdvice.com,11671316,51-100
MORSE GROUP INVESTMENT ADVISORS LLC,MORSE GROUP INVESTMENT ADVISORS,,,,,,213-358-9460,https://www.morse-group.com,11685545,1-10
"RRIM ASSET STRATEGIES, LLC",RRIM ASSET STRATEGIES,,,,,,206-310-2358,,11686172,0
"ARMORY CAPITAL GROUP, LLC","ARMORY CAPITAL GROUP, LLC",200 NORTH PACIFIC COAST HIGHWAY,EL SEGUNDO,CA,United States,90245,310-643-9100,HTTP://WWW.ARMORYCAPITAL.COM,11687477,0
ESG WEALTH ADVISORS LLC,ESG WEALTH ADVISORS,,,,,,2676138406,https://esgwa.com/,11699318,1-10
"TREE FORT FINANCIAL, INC.","TREE FORT FINANCIAL, INC.",,,,,,312-666-7587,https://www.facebook.com/Tree-Fort-Financial-1380637958924005,11700000,26-50
"SPRINCZ ADVISORY GROUP, LLC","SPRINCZ ADVISORY GROUP, LLC",9200 W. CROSS DRIVE,LITTLETON,CO,United States,80123,303-779-1188,HTTP://DONTGOBROKEKIT.COM/,11700000,0
AMERICAN GROWTH CITIES LLC,LAGUNA COAST CAPITAL,,,,,,949-880-5336,http://www.lagunacoastcap.com,11700000,0
"ERICA HALL WEALTH ADVISORS, LLC","ERICA HALL WEALTH ADVISORS, LLC.",2000 TOWN CENTER DRIVE,SOUTHFIELD,MI,United States,48075,313-393-8800,HTTP://WWW.EHWEALTHADVISORS.COM,11701236,51-100
"MONEY POOLE...SOLUTIONS FOR LIFE, LLC","MONEY POOLE...SOLUTIONS FOR LIFE, LLC",,,,,,864-326-5464,HTTP://WWW.MONEYPOOLE.COM,11703293,
"PAGE FINANCIAL SERVICES, LLC","PAGE FINANCIAL SERVICES, LLC",8607 SMYRNA PARKWAY,LOUISVILLE,KY,United States,40228,502-905-4152,,11704416,0
"DAUBLE+WORTHINGTON CAPITAL MANAGEMENT, LLC",DAUBLE+WORTHINGTON EQUITY PORTFOLIOS,,,,,,812-401-8700,HTTPS://WWW.DWEQUITY.COM,11705421,0
2050 WEALTH PARTNERS LLC,2050 WEALTH PARTNERS LLC,"9103 WOODMORE CENTRE DRIVE,",LANHAM,MD,United States,20706,240-406-9181,https://www.linkedin.com/company/2050wps/,11709674,51-100
MISSION PEAK CAPITAL ADVISORS LLC,MISSION PEAK CAPITAL ADVISORS LLC,"300 E 39TH, SUITE 5H",KANSAS CITY,MO,United States,64111,816.994.6600,HTTPS://WWW.MISSIONPEAKCAPITAL.COM,11713124,
"SAPPHIRE FIDUCIARY ADVISORS, LLC","SAPPHIRE FIDUCIARY ADVISORS, LLC",,,,,,502-509-2568,https://www.linkedin.com/company/sapphirefiduciary,11714948,
MICHAEL PAUL O'CONNELL,LINDEN ASH CAPITAL,,,,,,513-703-0553,,11720000,0
RECKER FINANCIAL LLC,RECKER FINANCIAL LLC,122 UPTOWN DRIVE,BAY CITY,MI,United States,48708,989-214-0120,https://www.linkedin.com/in/mark-recker-75654590/,11723818,51-100
"DUKES FINANCIAL GROUP, LLC","DUKES FINANCIAL GROUP, LLC",,,,,,704-957-4101,,11726061,11-25
"HARRIS AND HARRIS WEALTH MANAGEMENT GROUP, LLC","HARRIS AND HARRIS WEALTH MANAGEMENT GROUP, LLC",,,,,,(301) 218-0885,HTTP://WWW.FINANCENSTILETTOS.COM,11739659,1-10
"FINANCIAL DECISION PARTNERS, LLC","FINANCIAL DECISION PARTNERS, LLC",,,,,,770-985-4071,HTTPS://WWW.FDP-PLANNERS.COM,11743837,1-10
